member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
M00001,Member 001,Male,39,Annual,Swimming Pool,2025-04-13,2026-04-13,Expired
M00002,Member 002,Male,30,Annual,Swimming Pool,2026-03-12,2027-03-12,Active
M00003,Member 003,Female,53,Monthly,Basketball,2025-09-28,2025-10-28,Expired
M00004,Member 004,Female,23,Monthly,Basketball,2025-04-17,2025-05-17,Expired
M00005,Member 005,Female,20,Monthly,Basketball,2025-03-13,2025-04-12,Expired
M00006,Member 006, female ,63,Monthly,Swimming Pool,2025-01-21,2025-02-20,Expired
M00007,Member 007,Female,41,Monthly,Badminton,2025-05-02,2025-06-01,Expired
M00008,Member 008,Female,33,Monthly,Football,2026-04-12,2026-05-12,Expired
M00009,Member 009,Female,21,Monthly,Badminton,2025-08-03,2025-09-02,Expired
M00010,Member 010,Female,52,Quarterly,Badminton,2025-11-27,2026-02-25,Expired
M00011,Member 011,Male,63,Quarterly,Swimming Pool,2026-04-04,2026-07-03,Expired
M00012,Member 012,Male,28,Monthly,Badminton,2025-03-29,2025-04-28,Expired
M00013,Member 013,Male,43,Annual,Gym,2026-01-08,2027-01-08,Active
M00014,Member 014,Female,20,Monthly,Basketball,2025-04-10,2025-05-10,Expired
M00015,Member 015,Female,28,Annual,Gym,2025-05-11,2026-05-11,Expired
M00016,Member 016,Male,32,Monthly,Football,2025-11-05,2025-12-05,Expired
M00017,Member 017,Female,65,Annual,Basketball,2025-12-10,2026-12-10,Active
M00018,Member 018,Female,55,Quarterly,Badminton,2026-05-07,2026-08-05,Expired
M00019,Member 019,Male,60,Monthly,Football,2026-02-18,2026-03-20,Expired
M00020,Member 020,Male,47,Monthly,Basketball,2026-01-21,2026-02-20,Expired
M00021,Member 021,Female,44,Monthly,Badminton,2025-07-11,2025-08-10,Expired
M00022,Member 022,Male,18,Monthly,Gym,2025-10-04,2025-11-03,Expired
M00023,Member 023,Female,55,Monthly, swimming pool ,2025-06-10,2025-07-10,Expired
M00024,Member 024,Male,49,Quarterly,Badminton,2026-04-05,2026-07-04,Expired
M00025,Member 025,Female,55,Monthly,Gym,2025-11-10,2025-12-10,Expired
M00026,Member 026,Female,42,Quarterly,Football,2025-01-22,2025-04-22,Expired
M00027,Member 027,Female,28,Annual,Football,2025-09-10,2026-09-10,Active
M00028,Member 028,Female,60,Monthly,Football,2026-07-15,2026-08-14,Expired
M00029,Member 029,Male,48,Quarterly,Football,2026-04-20,2026-07-19,Expired
M00030,Member 030,Male,21,Monthly,Swimming Pool,2025-02-28,2025-03-30,Expired
M00031,Member 031,Male,39,Quarterly,Basketball,2026-05-26,2026-08-24,Expired
M00032,Member 032,Female,34,Monthly,Basketball,2026-04-21,2026-05-21,Expired
M00033,Member 033,Female,31,Annual,Swimming Pool,2025-07-09,2026-07-09,Expired
M00034,Member 034,Female,55,Annual,Badminton,2026-07-17,2027-07-17,Active
M00035,Member 035,Male,43,Monthly,Badminton,2026-07-21,2026-08-20,Expired
M00036,Member 036,Male,48,Monthly,Football,2025-09-01,2025-10-01,Expired
M00037,Member 037,Male,63,Annual,Gym,2026-05-20,2027-05-20,Active
M00038,Member 038,Male,56,Quarterly,Badminton,2025-05-11,2025-08-09,Expired
M00039,Member 039,Female,28,Monthly,Gym,2026-04-30,2026-05-30,Expired
M00040,Member 040,Male,58,Monthly,Basketball,2025-01-21,2025-02-20,Expired
M00041,  Member 041  ,Male,60,Quarterly,Gym,2025-06-16,2025-09-14,Expired
M00042,Member 042,Female,40,Monthly,Basketball,2025-10-01,2025-10-31,Expired
M00043,Member 043,Male,57,Annual,Swimming Pool,2026-01-23,2027-01-23,Active
M00044,Member 044,Male,51,Monthly,Swimming Pool,2026-08-24,2026-09-23,Active
M00045,Member 045,Female,42,Monthly,Football,2025-11-12,2025-12-12,Expired
M00046,Member 046,Male,53,Annual,Badminton,2025-01-14,2026-01-14,Expired
M00047,Member 047,Female,22,Monthly,Football,2025-08-30,2025-09-29,Expired
M00048,Member 048,Female,20,Monthly,Basketball,2025-12-12,2026-01-11,Expired
M00049,Member 049,Female,58,Monthly,Football,2026-07-19,2026-08-18,Expired
M00050,Member 050,Male,60,Monthly,Gym,2025-12-06,2026-01-05,Expired
M00051,Member 051,Female,46,Quarterly,Basketball,2025-04-02,2025-07-01,Expired
M00052,Member 052,Male,38,Monthly,Swimming Pool,2026-01-02,2026-02-01,Expired
M00053,Member 053,Male,57,Quarterly,Badminton,2026-03-31,2026-06-29,Expired
M00054,Member 054,Male,25,Quarterly,Basketball,2026-03-04,2026-06-02,Expired
M00055,Member 055,Female,47,Quarterly,Basketball,2026-05-24,2026-08-22,Expired
M00056,Member 056,Male,58,Monthly,Gym,2025-02-04,2025-03-06,Expired
M00057,Member 057,Male,45,Monthly,Badminton,2025-07-25,2025-08-24,Expired
M00058,Member 058,Female,54,Annual,Swimming Pool,2025-03-22,2026-03-22,Expired
M00059,Member 059,Male,46,Quarterly,Basketball,2026-07-16,2026-10-14,Active
M00060,Member 060,Male,33,Quarterly,Basketball,2026-01-23,2026-04-23,Expired
M00061,Member 061,Male,51,Monthly,Gym,2025-01-02,2025-02-01,Expired
M00062,Member 062,Male,17,Monthly,Football,2026-01-25,2026-02-24,Expired
M00063,Member 063,Male,29,Quarterly,Swimming Pool,2026-07-20,2026-10-18,Active
M00064,Member 064,Male,28,Annual,Badminton,2025-04-16,2026-04-16,Expired
M00065,Member 065,Female,44,Quarterly,Basketball,2026-04-22,2026-07-21,Expired
M00066,Member 066,Male,27,Annual,Basketball,2026-02-06,2027-02-06,Active
M00067,Member 067,Male,54,Quarterly,Swimming Pool,2026-07-10,2026-10-08,Active
M00068,Member 068,Female,17,Monthly,Football,2025-06-11,2025-07-11,Expired
M00069,Member 069,Male,47,Monthly,Basketball,2025-07-21,2025-08-20,Expired
M00070,Member 070,Female,28,Monthly,Swimming Pool,2025-09-27,2025-10-27,Expired
M00071,Member 071,Male,61,Monthly,Gym,2025-09-28,2025-10-28,Expired
M00072,Member 072,Male,42,Annual,Football,2026-04-01,2027-04-01,Active
M00073,Member 073,Male,64,Monthly,Badminton,2026-04-07,2026-05-07,Expired
M00074,Member 074,Male,56,Monthly,Basketball,2025-09-09,2025-10-09,Expired
M00075,Member 075,Male,32,Monthly,Swimming Pool,2025-10-23,2025-11-22,Expired
M00076,Member 076,Male,55,Monthly,Gym,2025-12-04,2026-01-03,Expired
M00077,Member 077,Male,46,Monthly,Badminton,2025-02-22,2025-03-24,Expired
M00078,Member 078,Male,49,Monthly,Swimming Pool,2025-08-05,2025-09-04,Expired
M00079,Member 079,Male,39,Quarterly,Swimming Pool,2025-07-07,2025-10-05,Expired
M00080,Member 080,Male,60,Monthly,Badminton,2026-01-15,2026-02-14,Expired
M00081,Member 081,Male,50,Quarterly,Gym,2026-05-08,2026-08-06,Expired
M00082,Member 082,Male,63,Monthly,Gym,2025-02-10,2025-03-12,Expired
M00083,Member 083,Female,21,Monthly,Football,2025-06-06,2025-07-06,Expired
M00084,Member 084,Male,34,Monthly,Basketball,2025-01-15,2025-02-14,Expired
M00085,Member 085,Female,45,Quarterly,Badminton,2025-03-06,2025-06-04,Expired
M00086,Member 086,Female,22,Quarterly,Badminton,2026-06-05,2026-09-03,Active
M00087,Member 087,Male,25,Monthly,Badminton,2025-12-10,2026-01-09,Expired
M00088,Member 088,Female,56,Monthly,Gym,2025-05-09,2025-06-08,Expired
M00089,Member 089,Female,47,Quarterly,Basketball,2026-04-17,2026-07-16,Expired
M00090,Member 090,Male,49,Monthly,Football,2025-03-04,2025-04-03,Expired
M00091,Member 091,Male,43,Monthly,Swimming Pool,2025-05-19,2025-06-18,Expired
M00092,Member 092,Female,30,Annual,Swimming Pool,2026-05-14,2027-05-14,Active
M00093,Member 093,Female,45,Quarterly,Badminton,2026-08-16,2026-11-14,Active
M00094,Member 094,Male,52,Monthly,Basketball,2026-01-27,2026-02-26,Expired
M00095,Member 095,Male,44,Annual,Gym,2026-02-23,2027-02-23,Active
M00096,Member 096,Male,37,Quarterly,Basketball,2025-10-16,2026-01-14,Expired
M00097,Member 097,Male,19,Monthly,Basketball,2026-01-14,2026-02-13,Expired
M00098,Member 098,Female,35,Quarterly,Gym,2026-05-05,2026-08-03,Expired
M00099,Member 099,Male,47,Quarterly,Badminton,2025-08-19,2025-11-17,Expired
M00100,Member 100,Male,51,Monthly,Basketball,2025-02-10,2025-03-12,Expired
M00101,Member 101,Female,65,Monthly,Swimming Pool,2025-01-28,2025-02-27,Expired
M00102,Member 102,Male,19,Monthly,Gym,2025-05-15,2025-06-14,Expired
M00103,Member 103,Male,42,Quarterly,Football,2025-07-20,2025-10-18,Expired
M00104,Member 104,Female,32,Monthly,Badminton,2025-02-02,2025-03-04,Expired
M00105,Member 105,Female,27,Annual,Gym,2025-02-17,2026-02-17,Expired
M00106,Member 106,Male,37,Quarterly,Football,2026-05-18,2026-08-16,Expired
M00107,Member 107,Male,32,Monthly,Football,2026-02-11,2026-03-13,Expired
M00108,Member 108,Male,25,Quarterly,Basketball,2026-07-28,2026-10-26,Active
M00109,Member 109,Male,16,Monthly,Basketball,2025-04-09,2025-05-09,Expired
M00110,Member 110,Male,37,Quarterly,Basketball,2026-07-01,2026-09-29,Active
M00111,Member 111,Male,41,Quarterly,Gym,2026-04-07,2026-07-06,Expired
M00112,Member 112,Male,33,Monthly,Gym,2025-01-05,2025-02-04,Expired
M00113,Member 113,Male,65,Monthly,Badminton,2025-08-06,2025-09-05,Expired
M00114,Member 114,Male,29,Monthly,Basketball,2026-05-18,2026-06-17,Expired
M00115,Member 115,Male,62,Monthly,Football,2026-02-02,2026-03-04,Expired
M00116,Member 116,Male,44,Monthly,Swimming Pool,2026-01-28,2026-02-27,Expired
M00117,Member 117,Male,27,Monthly,Badminton,2025-07-26,2025-08-25,Expired
M00118,Member 118,Male,51,Annual,Gym,2025-01-15,2026-01-15,Expired
M00119,Member 119,Female,50,Monthly,Badminton,2026-07-08,2026-08-07,Expired
M00120,Member 120,Female,27,Monthly,Badminton,2026-04-06,2026-05-06,Expired
M00121,Member 121,Female,22,Quarterly,Badminton,2026-07-29,2026-10-27,Active
M00122,Member 122,Female,44,Monthly,Badminton,2025-08-29,2025-09-28,Expired
M00123,Member 123,Male,26,Annual,Swimming Pool,2026-07-18,2027-07-18,Active
M00124,Member 124,Male,48,Quarterly,Basketball,2025-04-06,2025-07-05,Expired
M00125,Member 125,Male,21,Quarterly,Football,2026-04-30,2026-07-29,Expired
M00126,Member 126,Female,62,Monthly,Badminton,2026-02-11,2026-03-13,Expired
M00127,Member 127,Female,30,Monthly,Badminton,2025-08-19,2025-09-18,Expired
M00128,Member 128,Male,47,Monthly,Badminton,2025-06-20,2025-07-20,Expired
M00129,Member 129,Male,26,Annual,Basketball,2026-06-25,2027-06-25,Active
M00130,Member 130,Male,38,Monthly,Gym,2025-02-05,2025-03-07,Expired
M00131,Member 131,Male,41,Monthly,Gym,2026-06-09,2026-07-09,Expired
M00132,Member 132,Female,49,Annual,Swimming Pool,2025-06-09,2026-06-09,Expired
M00133,Member 133,Female,61,Monthly,Gym,2025-08-31,2025-09-30,Expired
M00134,Member 134,Male,49,Monthly,Badminton,2025-03-27,2025-04-26,Expired
M00135,Member 135,Female,44,Monthly,Badminton,2026-08-01,2026-08-31,Expired
M00136,Member 136,Female,19,Annual,Badminton,2026-07-11,2027-07-11,Active
M00137,Member 137,Male,32,Monthly,Swimming Pool,2026-07-28,2026-08-27,Expired
M00138,Member 138,Male,50,Quarterly,Badminton,2025-01-28,2025-04-28,Expired
M00139,Member 139,Male,28,Quarterly,Gym,2026-07-10,2026-10-08,Active
M00140,Member 140,Male,56,Monthly,Basketball,2025-12-06,2026-01-05,Expired
M00141,Member 141,Male,54,Quarterly,Basketball,2025-11-27,2026-02-25,Expired
M00142,Member 142,Male,30,Monthly,Football,2026-05-21,2026-06-20,Expired
M00143,Member 143,Male,44,Monthly,Gym,2025-12-14,2026-01-13,Expired
M00144,Member 144,Male,44,Quarterly,Badminton,2026-04-18,2026-07-17,Expired
M00145,Member 145,Female,26,Annual,Basketball,2025-08-19,2026-08-19,Expired
M00146,Member 146,Male,47,Quarterly,Gym,2025-07-09,2025-10-07,Expired
M00147,Member 147,Male,17,Monthly,Basketball,2025-08-13,2025-09-12,Expired
M00148,Member 148,Male,62,Monthly,Badminton,2026-01-20,2026-02-19,Expired
M00149,Member 149,Female,29,Monthly,Basketball,2026-01-12,2026-02-11,Expired
M00150,Member 150,Male,35,Monthly,Football,2025-10-10,2025-11-09,Expired
M00151,Member 151,Male,37,Monthly,Football,2025-09-16,2025-10-16,Expired
M00152,Member 152,Female,26,Monthly,Basketball,2025-12-25,2026-01-24,Expired
M00153,Member 153,Female,42,Monthly,Gym,2026-04-01,2026-05-01,Expired
M00154,Member 154,Female,18,Monthly,Gym,2026-02-15,2026-03-17,Expired
M00155,Member 155,Male,32,Monthly,Gym,2025-11-14,2025-12-14,Expired
M00156,Member 156,Male,59,Monthly,Basketball,2025-08-13,2025-09-12,Expired
M00157,Member 157,Female,43,Annual,Gym,2025-08-22,2026-08-22,Expired
M00158,Member 158,Female,44,Monthly,Badminton,2026-01-09,2026-02-08,Expired
M00159,Member 159,Female,36,Annual,Football,2026-08-31,2027-08-31,Active
M00160,Member 160,Female,62,Annual,Badminton,2026-04-17,2027-04-17,Active
M00161,Member 161,Male,31,Monthly,Gym,2025-08-21,2025-09-20,Expired
M00162,Member 162,Female,52,Quarterly,Badminton,2025-04-23,2025-07-22,Expired
M00163,Member 163,Male,35,Quarterly,Gym,2026-05-12,2026-08-10,Expired
M00164,Member 164,Male,21,Quarterly,Basketball,2026-03-18,2026-06-16,Expired
M00165,Member 165,Male,34,Monthly,Badminton,2026-07-18,2026-08-17,Expired
